nH	En	En-1	diffGibbs	Remarks(n,n-1)
10	-799.17439988	-796.31479523	0.45873433	#9@PH3-1@0P,#3@PH3-6@PH2
10	-799.17439988	-796.16661977	0.31055887	#9@PH3-1@0P,#6@PH3-2@PH2-1@0P
10	-799.17439988	-795.97248426	0.11642336	#9@PH3-1@0P,#9@PH3
10	-798.65076720	-796.31479523	0.98236700	#8@PH2-1@Ptop-1@NiPbrdg-1,#3@PH3-6@PH2
10	-798.65076720	-796.16661977	0.83419155	#8@PH2-1@Ptop-1@NiPbrdg-1,#6@PH3-2@PH2-1@0P
10	-798.65076720	-795.97248426	0.64005603	#8@PH2-1@Ptop-1@NiPbrdg-1,#9@PH3
10	-798.65069755	-796.31479523	0.98243665	#8@PH2-1@Ptop-1@NiPbrdg-2,#3@PH3-6@PH2
10	-798.65069755	-796.16661977	0.83426120	#8@PH2-1@Ptop-1@NiPbrdg-2,#6@PH3-2@PH2-1@0P
10	-798.65069755	-795.97248426	0.64012568	#8@PH2-1@Ptop-1@NiPbrdg-2,#9@PH3
10	-798.57395529	-796.31479523	1.05917892	#8@PH2-2@NiPbrdg,#3@PH3-6@PH2
10	-798.57395529	-796.16661977	0.91100346	#8@PH2-2@NiPbrdg,#6@PH3-2@PH2-1@0P
10	-798.57395529	-795.97248426	0.71686795	#8@PH2-2@NiPbrdg,#9@PH3
11	-802.35675682	-799.32876334	0.29034549	#9@PH3-2@PH2,#6@PH3-4@PH2
11	-802.35675682	-799.17439988	0.13598203	#9@PH3-2@PH2,#9@PH3-1@0P
11	-802.35675682	-798.65076720	-0.38765064	#9@PH3-2@PH2,#8@PH2-1@Ptop-1@NiPbrdg-1
11	-802.35675682	-798.65069755	-0.38772029	#9@PH3-2@PH2,#8@PH2-1@Ptop-1@NiPbrdg-2
11	-802.35675682	-798.57395529	-0.46446256	#9@PH3-2@PH2,#8@PH2-2@NiPbrdg
11	-801.20725952	-799.32876334	1.43984280	#8@PH2-3@NiPbrdg-1,#6@PH3-4@PH2
11	-801.20725952	-799.17439988	1.28547933	#8@PH2-3@NiPbrdg-1,#9@PH3-1@0P
11	-801.20725952	-798.65076720	0.76184666	#8@PH2-3@NiPbrdg-1,#8@PH2-1@Ptop-1@NiPbrdg-1
11	-801.20725952	-798.65069755	0.76177701	#8@PH2-3@NiPbrdg-1,#8@PH2-1@Ptop-1@NiPbrdg-2
11	-801.20725952	-798.57395529	0.68503474	#8@PH2-3@NiPbrdg-1,#8@PH2-2@NiPbrdg
11	-801.17860169	-799.32876334	1.46850063	#8@PH2-3@NiPbrdg-2,#6@PH3-4@PH2
11	-801.17860169	-799.17439988	1.31413716	#8@PH2-3@NiPbrdg-2,#9@PH3-1@0P
11	-801.17860169	-798.65076720	0.79050449	#8@PH2-3@NiPbrdg-2,#8@PH2-1@Ptop-1@NiPbrdg-1
11	-801.17860169	-798.65069755	0.79043484	#8@PH2-3@NiPbrdg-2,#8@PH2-1@Ptop-1@NiPbrdg-2
11	-801.17860169	-798.57395529	0.71369257	#8@PH2-3@NiPbrdg-2,#8@PH2-2@NiPbrdg
11	-801.17665378	-799.32876334	1.47044854	#8@PH2-3@Ptop,#6@PH3-4@PH2
11	-801.17665378	-799.17439988	1.31608507	#8@PH2-3@Ptop,#9@PH3-1@0P
