nH	En	En-1	diffGibbs	Remarks(n,n-1)
10	-798.65069755	-796.16661977	0.96686658	#8@PH2-1@Ptop-1@NiPbrdg-2,#6@PH3-2@PH2-1@0P
10	-798.65069755	-795.97248426	0.77273106	#8@PH2-1@Ptop-1@NiPbrdg-2,#9@PH3
10	-798.57395529	-796.31479523	1.19178430	#8@PH2-2@NiPbrdg,#3@PH3-6@PH2
10	-798.57395529	-796.16661977	1.04360885	#8@PH2-2@NiPbrdg,#6@PH3-2@PH2-1@0P
10	-798.57395529	-795.97248426	0.84947333	#8@PH2-2@NiPbrdg,#9@PH3
11	-802.35675682	-799.32876334	0.42295088	#9@PH3-2@PH2,#6@PH3-4@PH2
11	-802.35675682	-799.17439988	0.26858741	#9@PH3-2@PH2,#9@PH3-1@0P
11	-802.35675682	-798.65076720	-0.25504526	#9@PH3-2@PH2,#8@PH2-1@Ptop-1@NiPbrdg-1
11	-802.35675682	-798.65069755	-0.25511491	#9@PH3-2@PH2,#8@PH2-1@Ptop-1@NiPbrdg-2
11	-802.35675682	-798.57395529	-0.33185718	#9@PH3-2@PH2,#8@PH2-2@NiPbrdg
11	-801.20725952	-799.32876334	1.57244818	#8@PH2-3@NiPbrdg-1,#6@PH3-4@PH2
11	-801.20725952	-799.17439988	1.41808471	#8@PH2-3@NiPbrdg-1,#9@PH3-1@0P
11	-801.20725952	-798.65076720	0.89445204	#8@PH2-3@NiPbrdg-1,#8@PH2-1@Ptop-1@NiPbrdg-1
11	-801.20725952	-798.65069755	0.89438239	#8@PH2-3@NiPbrdg-1,#8@PH2-1@Ptop-1@NiPbrdg-2
11	-801.20725952	-798.57395529	0.81764012	#8@PH2-3@NiPbrdg-1,#8@PH2-2@NiPbrdg
11	-801.17860169	-799.32876334	1.60110601	#8@PH2-3@NiPbrdg-2,#6@PH3-4@PH2
11	-801.17860169	-799.17439988	1.44674254	#8@PH2-3@NiPbrdg-2,#9@PH3-1@0P
11	-801.17860169	-798.65076720	0.92310987	#8@PH2-3@NiPbrdg-2,#8@PH2-1@Ptop-1@NiPbrdg-1
11	-801.17860169	-798.65069755	0.92304022	#8@PH2-3@NiPbrdg-2,#8@PH2-1@Ptop-1@NiPbrdg-2
11	-801.17860169	-798.57395529	0.84629795	#8@PH2-3@NiPbrdg-2,#8@PH2-2@NiPbrdg
11	-801.17665378	-799.32876334	1.60305392	#8@PH2-3@Ptop,#6@PH3-4@PH2
11	-801.17665378	-799.17439988	1.44869045	#8@PH2-3@Ptop,#9@PH3-1@0P
11	-801.17665378	-798.65076720	0.92505778	#8@PH2-3@Ptop,#8@PH2-1@Ptop-1@NiPbrdg-1
11	-801.17665378	-798.65069755	0.92498813	#8@PH2-3@Ptop,#8@PH2-1@Ptop-1@NiPbrdg-2
11	-801.17665378	-798.57395529	0.84824586	#8@PH2-3@Ptop,#8@PH2-2@NiPbrdg
12	-805.34419473	-802.35675682	0.46350645	#12@PH3,#9@PH3-2@PH2
12	-805.34419473	-801.20725952	-0.68599086	#12@PH3,#8@PH2-3@NiPbrdg-1
12	-805.34419473	-801.17860169	-0.71464869	#12@PH3,#8@PH2-3@NiPbrdg-2
12	-805.34419473	-801.17665378	-0.71659660	#12@PH3,#8@PH2-3@Ptop
12	-804.43362969	-802.35675682	1.37407149	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg,#9@PH3-2@PH2
12	-804.43362969	-801.20725952	0.22457418	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg,#8@PH2-3@NiPbrdg-1
12	-804.43362969	-801.17860169	0.19591635	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg,#8@PH2-3@NiPbrdg-2
12	-804.43362969	-801.17665378	0.19396844	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg,#8@PH2-3@Ptop
12	-803.78574133	-802.35675682	2.02195985	#8@PH2-4@Ptop,#9@PH3-2@PH2
12	-803.78574133	-801.20725952	0.87246255	#8@PH2-4@Ptop,#8@PH2-3@NiPbrdg-1
12	-803.78574133	-801.17860169	0.84380472	#8@PH2-4@Ptop,#8@PH2-3@NiPbrdg-2
12	-803.78574133	-801.17665378	0.84185681	#8@PH2-4@Ptop,#8@PH2-3@Ptop
12	-803.76458222	-802.35675682	2.04311896	#8@PH2-4@NiPbrdg-2,#9@PH3-2@PH2
12	-803.76458222	-801.20725952	0.89362165	#8@PH2-4@NiPbrdg-2,#8@PH2-3@NiPbrdg-1
12	-803.76458222	-801.17860169	0.86496382	#8@PH2-4@NiPbrdg-2,#8@PH2-3@NiPbrdg-2
12	-803.76458222	-801.17665378	0.86301591	#8@PH2-4@NiPbrdg-2,#8@PH2-3@Ptop
12	-803.70969163	-802.35675682	2.09800955	#8@PH2-4@NiPbrdg-1,#9@PH3-2@PH2
12	-803.70969163	-801.20725952	0.94851224	#8@PH2-4@NiPbrdg-1,#8@PH2-3@NiPbrdg-1
12	-803.70969163	-801.17860169	0.91985441	#8@PH2-4@NiPbrdg-1,#8@PH2-3@NiPbrdg-2
12	-803.70969163	-801.17665378	0.91790650	#8@PH2-4@NiPbrdg-1,#8@PH2-3@Ptop
